,Name,url
186,CASINO,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg
187,CASINO ROYALE,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg
188,CASTILLIAN HOT CHOCOLATE,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg
189,CHAMPAGNE COCKTAIL,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg
190,CHERRY ELECTRIC LEMONADE,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg
191,CHERRY RUM,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg
192,CHICAGO FIZZ,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg
193,CHOCOLATE BEVERAGE,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg
194,CHOCOLATE BLACK RUSSIAN,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg
195,CHOCOLATE DRINK,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg
196,CHOCOLATE MILK,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg
197,CHOCOLATE MONKEY,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg
198,CITRUS COKE,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg
199,CITY SLICKER,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg
200,CLASSIC OLD-FASHIONED,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg
201,CLOVE COCKTAIL,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg
202,CLOVER CLUB,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg
203,COFFEE LIQUEUR,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg
204,COFFEE-VODKA,http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg
205,COKE AND DROPS,http://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg
206,COSMOPOLITAN,http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
207,COSMOPOLITAN MARTINI,http://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg
208,CRANBERRY CORDIAL,http://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg
209,CRANBERRY PUNCH,http://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg
210,CREAM SODA,http://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg
211,CREME DE MENTHE,http://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg
212,CUBA LIBRA,http://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg
213,CUBA LIBRE,http://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg
214,DAIQUIRI,http://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg
215,DAMNED IF YOU DO,http://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg
216,DANBOOKA,http://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg
217,DARK CAIPIRINHA,http://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg
218,DARK AND STORMY,http://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg
219,DARKWOOD SLING,http://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg
220,DERBY,http://www.thecocktaildb.com/images/media/drink/i502ra1504349156.jpg
221,DIESEL,http://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg
222,DIRTY MARTINI,http://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg
223,DIRTY NIPPLE,http://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg
224,DOWNSHIFT,http://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg
225,DRAGONFLY,http://www.thecocktaildb.com/images/media/drink/lnvbip1504389100.jpg
226,DRINKING CHOCOLATE,http://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg
227,DRY ROB ROY,http://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg
228,DUBONNET COCKTAIL,http://www.thecocktaildb.com/images/media/drink/xxsuwr1439457147.jpg
229,DUCHAMP'S PUNCH,http://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg
230,EGG CREAM,http://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg
231,EGG NOG #4,http://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg
232,EGG NOG - HEALTHY,http://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg
233,EGG-NOG - CLASSIC COOKED,http://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg
234,ENGLISH HIGHBALL,http://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg
235,ENGLISH ROSE COCKTAIL,http://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg
236,ESPRESSO MARTINI,http://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg
237,FAHRENHEIT 5000,http://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg
238,FLAMING DR. PEPPER,http://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg
239,FLAMING LAMBORGHINI,http://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg
240,FLANDER'S FLAKE-OUT,http://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg
241,FLYING DUTCHMAN,http://www.thecocktaildb.com/images/media/drink/akik8t1504519958.jpg
242,FLYING SCOTCHMAN,http://www.thecocktaildb.com/images/media/drink/glgrix1504520040.jpg
243,FOXY LADY,http://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg
244,FRAPPÉ,http://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg
245,FREDDY KRUGER,http://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg
246,"FRENCH ""75""",http://www.thecocktaildb.com/images/media/drink/qpvxsx1439906903.jpg
247,FRENCH 75,http://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg
248,FRENCH CONNECTION,http://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg
249,FRENCH MARTINI,http://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg
250,FRISCO SOUR,http://www.thecocktaildb.com/images/media/drink/y39l941504884150.jpg
251,FROZEN DAIQUIRI,http://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg
252,FROZEN MINT DAIQUIRI,http://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg
253,FROZEN PINEAPPLE DAIQUIRI,http://www.thecocktaildb.com/images/media/drink/j2mqsb1504736097.jpg
254,FRUIT COOLER,http://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg
255,FRUIT FLIP-FLOP,http://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg
256,FRUIT SHAKE,http://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg
